s_Q,prob_lead_lifetime
4020,0.005444976667181467
4021,0.0055018511153800314
4022,0.0055577711066503071
4023,0.0056126967424687448
4024,0.0056665885663609826
4025,0.0057194076103014926
4026,0.00577111544085581
4027,0.0058216742049900551
4028,0.0058710466754727337
4029,0.0059191962957937209
4030,0.0059660872245258746
4031,0.0060116843790551022
4032,0.0060559534786054029
4033,0.0060988610864862233
4034,0.006140374651490383
4035,0.00618046254837202
4036,0.0062190941173351742
4037,0.0062562397024651349
4038,0.0062918706890362653
4039,0.0063259595396315581
4040,0.0063584798290112782
4041,0.0063894062776698561
4042,0.0064187147840223764
4043,0.0064463824551643043
4044,0.0064723876361503967
4045,0.0064967099377413332
4046,0.0065193302625691264
4047,0.0065402308296751621
4048,0.0065593951973775353
4049,0.0065768082844272352
4050,0.0065924563894157948
4051,0.0066063272084001
4052,0.0066184098507131514
4053,0.0066286948529330541
4054,0.0066371741909854228
4055,0.0066438412903581986
4056,0.0066486910344108934
4057,0.006651719770763953
4058,0.0066529253157573834
4059,0.0066523069569711475
4060,0.0066498654538035456
4061,0.006645603036107171
4062,0.0066395234008856064
4063,0.0066316317070575634
4064,0.0066219345682986359
4065,0.0066104400439742734
4066,0.0065971576281811349
4067,0.0065820982369172061
4068,0.0065652741934046095
4069,0.0065466992115921765
4070,0.0065263883778681284
4071,0.0065043581310164312
4072,0.0064806262404533783
4073,0.0064552117827840058
4074,0.0064281351167208532
4075,0.006399417856410382
4076,0.0063690828432150758
4077,0.0063371541160017588
4078,0.00630365687998941
4079,0.0062686174742117252
4080,0.0062320633376522815
4081,0.0061940229741120284
4082,0.0061545259158709269
4083,0.0061136026862073636
4084,0.0060712847608406393
4085,0.0060276045283634127
4086,0.0059825952497324182
4087,0.0059362910168869517
4088,0.00588872671056583
4089,0.0058399379573943937
4090,0.0057899610863140017
4091,0.0057388330844270847
4092,0.0056865915523312662
4093,0.0056332746590165642
4094,0.0055789210963996493
4095,0.00552357003356937
4096,0.0054672610708175074
4097,0.0054100341935285632
4098,0.0053519297260018247
4099,0.0052929882852785657
4100,0.0052332507350463728
4101,0.0051727581396918548
4102,0.0051115517185719864
4103,0.00504967280057313
4104,0.0049871627790256962
4105,0.0049240630670409017
4106,0.0048604150533346152
4107,0.0047962600586017329
4108,0.0047316392925027357
4109,0.00466659381132227
4110,0.0046011644763577185
4111,0.0045353919130936048
4112,0.004469316471215656
4113,0.004402978185516113
4114,0.0043364167377395917
4115,0.0042696714194164608
4116,0.0042027810957283186
4117,0.004135784170447636
4118,0.0040687185519911592
4119,0.0040016216206240187
4120,0.0039345301968490036
4121,0.0038674805110127078
4122,0.0038005081741576212
4123,0.0037336481501465922
4124,0.0036669347290833451
4125,0.0036004015020500097
4126,0.0035340813371799577
4127,0.0034680063570815345
4128,0.0034022079176255029
4129,0.0033367165881064589
4130,0.0032715621327857338
4131,0.003206773493820694
4132,0.0031423787755827928
4133,0.0030784052303641459
4134,0.0030148792454698717
4135,0.0029518263316910725
4136,0.0028892711131508078
4137,0.0028272373185131705
4138,0.00276574777354323
4139,0.0027048243950034451
4140,0.0026444881858699362
4141,0.0025847592318500442
4142,0.0025256566991804889
4143,0.0024671988336836433
4144,0.0024094029610575388
4145,0.0023522854883735213
4146,0.0022958619067538003
4147,0.0022401467951995912
4148,0.0021851538255390894
4149,0.0021308957684631059
4150,0.00207738450061496
4151,0.0020246310127000223
4152,0.0019726454185792007
4153,0.0019214369653096973
4154,0.0018710140440954673
4155,0.0018213842021089991
4156,0.0017725541551453581
4157,0.0017245298010688194
4158,0.0016773162340119226
4159,0.0016309177592863547
4160,0.0015853379089647473
4161,0.00154057945809228
4162,0.0014966444414867858
4163,0.0014535341710860657
4164,0.0014112492538011132
4165,0.0013697896098340968
4166,0.0013291544914201354
4167,0.0012893425019521931
4168,0.0012503516154487773
4169,0.0012121791963245537
4170,0.0011748220194245007
4171,0.0011382762902827775
4172,0.0011025376655681707
4173,0.0010676012736785992
4174,0.001033461735448
4175,0.0010001131849296629
4176,0.00096754929022099324
4177,0.000935763274295565
4178,0.0009047479358092965
4179,0.00087449566984858132
4180,0.00084499848858924265
4181,0.0008162480418362492
4182,0.00078823563741523613
4183,0.00076095226138801287
4184,0.00073438859806538247
4185,0.00070853504979178673
4186,0.0006833817564774762
4187,0.00065891861485512437
4188,0.00063513529743901189
4189,0.00061202127116615249
4190,0.00058956581569994445
4191,0.000567758041378188
4192,0.00054658690678853375
4193,0.00052604123595565073
4194,0.00050610973512564366
4195,0.00048678100913445219
4196,0.00046804357734816794
4197,0.0004498858891644051
4198,0.00043229633906502089
4199,0.00041526328121164227
4200,0.00039877504357659489
4201,0.00038281994160292704
4202,0.000367386291388325
4203,0.00035246242238876096
4204,0.00033803668963876163
4205,0.00032409748548617857
4206,0.00031063325084032084
4207,0.000297632485933248
4208,0.00028508376059493414
4209,0.00027297572404388388
4210,0.00026129711419562471
4211,0.00025003676649230309
4212,0.00023918362225738
4213,0.00022872673658015625
4214,0.0002186552857355472
4215,0.00020895857414519319
4216,0.00019962604088660378
4217,0.00019064726575762224
4218,0.00018201197490404062
4219,0.0001737100460187047
4220,0.00016573151312091841
4221,0.00015806657092539209
4222,0.00015070557881037685
4223,0.00014363906439499114
4224,0.00013685772673606715
4225,0.00013035243915514308
4226,0.00012411425170647967
4227,0.00011813439329720611
4228,0.00011240427347089142
4229,0.00010691548386599716
4230,0.00010165979936079687
4231,9.6629178916445732E-05
4232,9.1815766129955308E-05
4233,8.7211889508869166E-05
4234,8.2810062479451993E-05
4235,7.8602983140192958E-05
4236,7.4583533772390519E-05
4237,7.0744780119525239E-05
4238,6.7079970447048769E-05
4239,6.3582534394111972E-05
4240,6.0246081628634928E-05
4241,5.7064400316978589E-05
4242,5.4031455419319774E-05
4243,5.1141386821654247E-05
4244,4.83885073151618E-05
4245,4.576730043346137E-05
4246,4.3272418158065189E-05
4247,4.0898678502109485E-05
4248,3.8641062982197526E-05
4249,3.6494713987938684E-05
4250,3.4454932058505259E-05
4251,3.2517173075261466E-05
4252,3.0677045379241764E-05
4253,2.8930306821974758E-05
4254,2.7272861757862649E-05
4255,2.570075798603483E-05
4256,2.4210183649301194E-05
4257,2.2797464097534493E-05
4258,2.1459058722513853E-05
4259,2.0191557770963203E-05
4260,1.8991679142220656E-05
4261,1.7856265176677698E-05
4262,1.6782279440831236E-05
4263,1.5766803514498086E-05
4264,1.4807033785450614E-05
4265,1.3900278256444769E-05
4266,1.3043953369328117E-05
4267,1.2235580850635848E-05
4268,1.1472784582808594E-05
4269,1.0753287504896194E-05
4270,1.0074908546347885E-05
4271,9.4355595972317887E-06
4272,8.8332425179746778E-06
4273,8.2660461914685681E-06
4274,7.7321436201520935E-06
4275,7.2297890704438226E-06
4276,6.7573152666808737E-06
4277,6.3131306364995245E-06
4278,5.895716609385963E-06
4279,5.5036249699238482E-06
4280,5.1354752670719762E-06
4281,4.7899522806196169E-06
4282,4.46580354578926E-06
4283,4.1618369367863539E-06
4284,3.8769183099335026E-06
4285,3.6099692068721213E-06
4286,3.3599646181678017E-06
4287,3.1259308075166486E-06
4288,2.906943196618418E-06
4289,2.7021243106582105E-06
4290,2.5106417842219672E-06
4291,2.3317064273615342E-06
4292,2.1645703514227928E-06
4293,2.0085251541549595E-06
4294,1.8629001635305457E-06
4295,1.7270607396234367E-06
4296,1.600406633816933E-06
4297,1.4823704045441975E-06
4298,1.3724158887001882E-06
4299,1.2700367278065685E-06
4300,1.1747549479592037E-06
4301,1.0861195925412845E-06
4302,1.0037054066438163E-06
4303,9.2711157209886762E-07
4304,8.5596049199940611E-07
4305,7.8989662355254159E-07
4306,7.2858535809033515E-07
4307,6.7171194704379371E-07
4308,6.1898047267106717E-07
4309,5.7011286231995475E-07
4310,5.2484794499743286E-07
4311,4.82940549014815E-07
4312,4.4416063947616107E-07
4313,4.0829249437944509E-07
4314,3.7513391810461383E-07
4315,3.4449549106980271E-07
4316,3.161998543464471E-07
4317,2.9008102803567039E-07
4318,2.6598376222195619E-07
4319,2.4376291933556106E-07
4320,2.2328288677224093E-07
4321,2.0441701863747478E-07
4322,1.8704710550235272E-07
4323,1.7106287107947566E-07
4324,1.5636149474948384E-07
4325,1.4284715889203165E-07
4326,1.3043061999906105E-07
4327,1.190288025729455E-07
4328,1.0856441483739298E-07
4329,9.89655853147902E-08
4330,9.0165519349837158E-08
4331,8.2102174685781775E-08
4332,7.4717955226206134E-08
4333,6.79594221420788E-08
4334,6.1777021510572754E-08
4335,5.6124827698898785E-08
4336,5.096030173304032E-08
4337,4.62440639177429E-08
4338,4.1939680000347589E-08
4339,3.8013460197011862E-08
4340,3.4434270425484491E-08
4341,3.1173355113850567E-08
4342,2.820417097949684E-08
4343,2.5502231196933602E-08
4344,2.3044959397013702E-08
4345,2.0811552963484709E-08
4346,1.8782855115673748E-08
4347,1.6941235288413E-08
4348,1.5270477342051833E-08
4349,1.375567515655321E-08
4350,1.2383135184225443E-08
4351,1.1140285555587461E-08
4352,1.0015591352198891E-08
4353,8.9984756790014891E-09
4354,8.079246186814142E-09
4355,7.2490267130986444E-09
4356,6.4996937259709213E-09
4357,5.8238172726744965E-09
4358,5.214606149365627E-09
4359,4.6658570240890969E-09
4360,4.1719072592576543E-09
4361,3.72759119379575E-09
4362,3.3281996583797048E-09
4363,2.9694425099122906E-09
4364,2.6474139835223332E-09
4365,2.3585606719913265E-09
4366,2.0996519535927743E-09
4367,1.8677526998994826E-09
4368,1.6601981051836375E-09
4369,1.4745704886185028E-09
4370,1.3086779296040774E-09
4371,1.1605346051966575E-09
4372,1.0283427068394654E-09
4373,9.10475821383285E-10
4374,8.0546366876779323E-10
4375,7.119780957211084E-10
4376,6.2882023144218505E-10
4377,5.5490871747304159E-10
4378,4.892689298602743E-10
4379,4.310231172625087E-10
4380,3.7938138389682034E-10
4381,3.3363345114680147E-10
4382,2.9314113629177505E-10
4383,2.57331491174176E-10
4384,2.2569054771354906E-10
4385,1.9775762101383779E-10
4386,1.73120124408141E-10
4387,1.5140885415405667E-10
4388,1.3229370464484334E-10
4389,1.1547977794829556E-10
4390,1.0070385423740293E-10
4391,8.7731192245148552E-11
4392,7.6352631270349042E-11
4393,6.6381968492059289E-11
4394,5.76535874261358E-11
4395,5.0020315288075755E-11
4396,4.3351488819844144E-11
4397,3.7531209803292708E-11
4398,3.2456773026828946E-11
4399,2.8037250902697495E-11
4400,2.4192220256724839E-11
4401,2.0850618037431667E-11
4402,1.7949713823480872E-11
4403,1.5434188053606525E-11
4404,1.3255305867255415E-11
4405,1.1370177332640241E-11
4406,9.7410956569326856E-12
4407,8.3349457258004E-12
4408,7.1226760110254724E-12
4409,6.0788275198711523E-12
4410,5.1811140422747109E-12
4411,4.41004848567297E-12
4412,3.7486105759161906E-12
4413,3.1819516496725608E-12
4414,2.69713267213273E-12
4415,2.282891986650072E-12
4416,1.9294396429632243E-12
4417,1.6282754604231409E-12
4418,1.3720282645942165E-12
4419,1.1543139919586526E-12
4420,9.6961059031024383E-13
4421,8.13147853715342E-13
4422,6.8081052244344777E-13
4423,5.6905315169489387E-13
4424,4.74825409822922E-13
4425,3.9550660849069728E-13
4426,3.2884839514072678E-13
4427,2.7292465350343768E-13
4428,2.2608776175687389E-13
4429,1.8693045140549863E-13
4430,1.5425259392482885E-13
4431,1.2703231759483689E-13
4432,1.0440092452156931E-13
4433,8.5621138359222911E-14
4434,7.0068267367959109E-14
4435,5.7213915792397361E-14
4436,4.6611919685113079E-14
4437,3.7886221742364941E-14
4438,3.0720433933934425E-14
4439,2.4848867121593103E-14
4440,2.0048833858812959E-14
4441,1.6134054499747172E-14
4442,1.2949017937318881E-14
4443,1.0364167027473897E-14
4444,8.27179530071785E-15
4445,6.5825561491600092E-15
4446,5.2224985205311576E-15
4447,4.1305544420560374E-15
4448,3.2564136094390131E-15
4449,2.5587289648512E-15
4450,2.0036047920468546E-15
4451,1.5633255014775192E-15
4452,1.2152890752833662E-15
4453,9.4111419120394083E-16
4454,7.2589443489583115E-16
4455,5.57576821291111E-16
4456,4.2644514813747834E-16
4457,3.2469156149948103E-16
4458,2.4606217944634138E-16
4459,1.8556474571158432E-16
4460,1.3922811337702256E-16
4461,1.0390492808975714E-16
4462,7.7110224876621963E-17
4463,5.688980210859188E-17
4464,4.1713216787284027E-17
4465,3.038708004413993E-17
4466,2.198504065774574E-17
4467,1.5791445059652545E-17
4468,1.1256170016485954E-17
4469,7.9585522600722292E-18
4470,5.5786993484343058E-18
4471,3.874767996439426E-18
4472,2.6650486777766959E-18
4473,1.8139059436489633E-18
4474,1.220799062185175E-18
4475,8.1175278236462163E-19
4476,5.327680023895551E-19
4477,3.4476092236258135E-19
4478,2.1970033556491291E-19
4479,1.3767899589129062E-19
4480,8.4708979423350013E-20
4481,5.1074739911730723E-20
4482,3.0112915204756619E-20
4483,1.7316365640105491E-20
4484,9.6826655531624927E-21
4485,5.24536872014794E-21
4486,2.7406959769659679E-21
4487,1.3735682759029623E-21
4488,6.557255673192644E-22
4489,2.9552011620263912E-22
4490,1.2425265965630507E-22
4491,4.7957663695572796E-23
4492,1.6604712285081137E-23
4493,4.980520261927056E-24
4494,1.221760807474266E-24
4495,2.1969379087639737E-25
4496,2.1937946442979597E-26
