s_Q,prob_lead_lifetime
3627,1.778987136192249E-26
3628,1.7971524624134908E-25
3629,1.0080847071578665E-24
3630,4.144601783562219E-24
3631,1.3934470253620196E-23
3632,4.0580938189304218E-23
3633,1.0600561696880113E-22
3634,2.5416967964675663E-22
3635,5.6849539275372117E-22
3636,1.2002676708465517E-21
3637,2.413608894382407E-21
3638,4.6549569590882273E-21
3639,8.658126315994769E-21
3640,1.5600233645164448E-20
3641,2.7329322848260821E-20
3642,4.6691800314195833E-20
3643,7.7997251359082331E-20
3644,1.2767041937420984E-19
3645,2.0515578550356192E-19
3646,3.2416013667696635E-19
3647,5.0434378410884977E-19
3648,7.7360294031468015E-19
3649,1.1711256844171132E-18
3650,1.7514537501922942E-18
3651,2.5898442227828187E-18
3652,3.789301710629905E-18
3653,5.4897457410246878E-18
3654,7.87989365430548E-18
3655,1.1212580451852957E-17
3656,1.5824408967603412E-17
3657,2.216083235707399E-17
3658,3.0808023240380405E-17
3659,4.2533188095914276E-17
3660,5.833535124842329E-17
3661,7.9509071170171446E-17
3662,1.0772407575743585E-16
3663,1.4512442775421949E-16
3664,1.9445157391342555E-16
3665,2.591965118246642E-16
3666,3.4378734964093906E-16
3667,4.5381976268442394E-16
3668,5.9633929747444472E-16
3669,7.8018617286185085E-16
3670,1.0164152193893944E-15
3671,1.3188059270184722E-15
3672,1.7044802895228429E-15
3673,2.1946492997289249E-15
3674,2.8155126298256122E-15
3675,3.5993403004132816E-15
3676,4.58577008586543E-15
3677,5.82336011792663E-15
3678,7.3714427424234991E-15
3679,9.3023332771920733E-15
3680,1.1703956049485025E-14
3681,1.4682960111474087E-14
3682,1.8368408514619124E-14
3683,2.2916138159511568E-14
3684,2.8513902241534417E-14
3685,3.5387424423121795E-14
3686,4.3807513346398856E-14
3687,5.4098408251053961E-14
3688,6.6647551609497833E-14
3689,8.1917013198352821E-14
3690,1.0045682229467086E-13
3691,1.2292050116206356E-13
3692,1.5008313416751085E-13
3693,1.8286235328577554E-13
3694,2.2234267300166285E-13
3695,2.6980366636688071E-13
3696,3.2675253992853543E-13
3697,3.9496173921066308E-13
3698,4.765122992645217E-13
3699,5.738437474549511E-13
3700,6.8981146915413044E-13
3701,8.2775256250040293E-13
3702,9.915613370798773E-13
3703,1.1857757546432972E-12
3704,1.4156762692378533E-12
3705,1.6873987009969202E-12
3706,2.0080629740074438E-12
3707,2.3859197660261113E-12
3708,2.8305173583549689E-12
3709,3.3528912400916249E-12
3710,3.9657793145880887E-12
3711,4.6838658798192511E-12
3712,5.5240579112055829E-12
3713,6.5057975681897E-12
3714,7.6514152776864946E-12
3715,8.9865282217953871E-12
3716,1.0540489577507893E-11
3717,1.2346894426447091E-11
3718,1.444414887708896E-11
3719,1.68761096248735E-11
3720,1.9692801921844855E-11
3721,2.2951224742003467E-11
3722,2.6716252816771204E-11
3723,3.1061646182559324E-11
3724,3.6071178935439833E-11
3725,4.18399000327608E-11
3726,4.8475540225008566E-11
3727,5.6100080550481524E-11
3728,6.48514992879778E-11
3729,7.488571584671893E-11
3730,8.6378751786543788E-11
3731,9.9529131013878656E-11
3732,1.1456054319942528E-10
3733,1.3172479662166714E-10
3734,1.5130508896641362E-10
3735,1.7361962711735978E-10
3736,1.99025629667244E-10
3737,2.2792374877524403E-10
3738,2.6076295110596452E-10
3739,2.980459009212856E-10
3740,3.403348919716302E-10
3741,3.8825837866139526E-10
3742,4.4251816105846482E-10
3743,5.0389728269435708E-10
3744,5.7326870477464627E-10
3745,6.5160482540420738E-10
3746,7.3998791774439157E-10
3747,8.3962156667560393E-10
3748,9.5184318955559622E-10
3749,1.0781377330578582E-09
3750,1.2201526448631567E-09
3751,1.3797142261779032E-09
3752,1.5588454786833677E-09
3753,1.759785567597668E-09
3754,1.9850110310759359E-09
3755,2.2372588752011631E-09
3756,2.5195517033469512E-09
3757,2.8352250387419209E-09
3758,3.1879570096512883E-09
3759,3.5818005777323157E-09
3760,4.0212185018336148E-09
3761,4.511121241811048E-09
3762,5.0569080198412966E-09
3763,5.6645112702438437E-09
3764,6.34044472298834E-09
3765,7.0918553808808709E-09
3766,7.9265796659033E-09
3767,8.8532040263358066E-09
3768,9.8811303131359055E-09
3769,1.1020646251585596E-08
3770,1.2283001352461345E-08
3771,1.3680488625933571E-08
3772,1.5226532481069349E-08
3773,1.6935783214194145E-08
3774,1.8824218510467705E-08
3775,2.0909252404841187E-08
3776,2.3209852171082838E-08
3777,2.5746663630780867E-08
3778,2.854214539814131E-08
3779,3.1620712600983478E-08
3780,3.5008890643577828E-08
3781,3.87354796028471E-08
3782,4.2831729875940639E-08
3783,4.7331529724259243E-08
3784,5.2271605386623255E-08
3785,5.7691734462402372E-08
3786,6.3634973294014925E-08
3787,7.0147899107212221E-08
3788,7.7280867696938573E-08
3789,8.5088287476234464E-08
3790,9.36289107355732E-08
3791,1.0296614299011404E-07
3792,1.1316837132254535E-07
3793,1.2430931265939392E-07
3794,1.364683829488081E-07
3795,1.4973108823778084E-07
3796,1.6418943867647086E-07
3797,1.7994238650658998E-07
3798,1.9709628911964274E-07
3799,2.1576539829900341E-07
3800,2.3607237678727521E-07
3801,2.5814884334694375E-07
3802,2.821359475078913E-07
3803,3.0818497521970843E-07
3804,3.3645798664977712E-07
3805,3.6712848738964426E-07
3806,4.0038213435206406E-07
3807,4.3641747765912165E-07
3808,4.7544673983782365E-07
3809,5.1769663365330148E-07
3810,5.634092199211071E-07
3811,6.1284280664877445E-07
3812,6.6627289086268378E-07
3813,7.23993144479051E-07
3814,7.8631644557740207E-07
3815,8.5357595643088121E-07
3816,9.2612624964002746E-07
3817,1.0043444837049455E-06
3818,1.0886316293549006E-06
3819,1.1794137479339647E-06
3820,1.2771433231163391E-06
3821,1.3823006471949309E-06
3822,1.4953952631515888E-06
3823,1.616967463676807E-06
3824,1.7475898482603845E-06
3825,1.8878689394223595E-06
3826,2.0384468590951215E-06
3827,2.2000030661028823E-06
3828,2.3732561556133019E-06
3829,2.5589657213577575E-06
3830,2.75793428133155E-06
3831,2.971009267592629E-06
3832,3.1990850806773448E-06
3833,3.4431052090441171E-06
3834,3.7040644138399956E-06
3835,3.9830109791617443E-06
3836,4.2810490278510032E-06
3837,4.5993409027230372E-06
3838,4.939109612979893E-06
3839,5.3016413454017093E-06
3840,5.6882880397440123E-06
3841,6.1004700275944114E-06
3842,6.5396787337588933E-06
3843,7.0074794390556965E-06
3844,7.50551410319432E-06
3845,8.0355042462074569E-06
3846,8.5992538866855959E-06
3847,9.1986525348374E-06
3848,9.8356782381635669E-06
3849,1.0512400677288738E-05
3850,1.1230984309244093E-05
3851,1.1993691555233963E-05
3852,1.2802886029652657E-05
3853,1.3661035806843076E-05
3854,1.4570716721807279E-05
3855,1.5534615700790804E-05
3856,1.6555534117368372E-05
3857,1.7636391169357785E-05
3858,1.8780227271583843E-05
3859,1.9990207459202984E-05
3860,2.1269624795985263E-05
3861,2.2621903781631266E-05
3862,2.405060375188073E-05
3863,2.5559422264845862E-05
3864,2.7152198466676524E-05
3865,2.8832916429339239E-05
3866,3.0605708452965335E-05
3867,3.2474858324898232E-05
3868,3.4444804527246809E-05
3869,3.652014338443083E-05
3870,3.8705632141886975E-05
3871,4.1006191966791564E-05
3872,4.3426910861350138E-05
3873,4.5973046478902279E-05
3874,4.8650028832799528E-05
3875,5.1463462887730165E-05
3876,5.4419131022891906E-05
3877,5.7522995356151521E-05
3878,6.07811999180824E-05
3879,6.4200072664534236E-05
3880,6.7786127316169683E-05
3881,7.1546065013199247E-05
3882,7.5486775773358721E-05
3883,7.9615339741005391E-05
3884,8.39390282150638E-05
3885,8.8465304443423909E-05
3886,9.3201824171292971E-05
3887,9.8156435930921244E-05
3888,0.0001033371810600706
3889,0.0001087522934365642
3890,0.00011441019891625888
3891,0.00012031951446180859
3892,0.00012648904694964743
3893,0.00013292779164271243
3894,0.00013964493031654539
3895,0.0001466498290265746
3896,0.00015395203550456202
3897,0.0001615612761724315
3898,0.00016948745276195251
3899,0.00017774063852905568
3900,0.00018633107405188951
3901,0.00019526916260210694
3902,0.0002045654650792788
3903,0.00021423069449879158
3904,0.00022427571002407474
3905,0.00023471151053453728
3906,0.00024554922772117326
3907,0.00025680011870240143
3908,0.00026847555815336696
3909,0.00028058702994262661
3910,0.00029314611827087474
3911,0.00030616449830714451
3912,0.00031965392631873329
3913,0.000333626229291959
3914,0.00034809329404174392
3915,0.00036306705580895437
3916,0.00037855948634539461
3917,0.00039458258148734941
3918,0.00041114834821961337
3919,0.00042826879123301394
3920,0.00044595589897952358
3921,0.00046422162923021368
3922,0.00048307789414242947
3923,0.00050253654484377561
3924,0.00052260935554169824
3925,0.00054330800716867868
3926,0.00056464407057431321
3927,0.00058662898927681168
3928,0.000609274061787735
3929,0.00063259042352508061
3930,0.00065658902833113
3931,0.00068128062961278751
3932,0.00070667576112344
3933,0.00073278471740668787
3934,0.000759617533923603
3935,0.0007871839668864857
3936,0.00081549347282335223
3937,0.000844555187898715
3938,0.00087437790701742923
3939,0.00090497006273966519
3940,0.000936339704036255
3941,0.00096849447491487368
3942,0.001001441592948672
3943,0.0010351878277400858
3944,0.001069739479353671
3945,0.0011051023567528204
3946,0.0011412817562762435
3947,0.0011782824401910246
3948,0.0012161086153599887
3949,0.0012547639120619207
3950,0.0012942513630039771
3951,0.0013345733825663531
3952,0.0013757317463198907
3953,0.001417727570857908
3954,0.001460561293984037
3955,0.0015042326552982684
3956,0.0015487406772237552
3957,0.0015940836465172031
3958,0.0016402590963058238
3959,0.0016872637886939555
3960,0.0017350936979824213
3961,0.0017837439945436338
3962,0.0018332090293952375
3963,0.0018834823195148136
3964,0.0019345565339378187
3965,0.001986423480680375
3966,0.0020390740945280426
3967,0.0020924984257309439
3968,0.0021466856296448915
3969,0.0022016239573572254
3970,0.0022573007473351511
3971,0.0023137024181332008
3972,0.0023708144621953273
3973,0.0024286214407857978
3974,0.0024871069800816827
3975,0.0025462537684582506
3976,0.0026060435549969834
3977,0.0026664571492442638
3978,0.0027274744222469715
3979,0.0027890743088894343
3980,0.0028512348115541336
3981,0.0029139330051266058
3982,0.0029771450433628377
3983,0.0030408461666351977
3984,0.0031050107110707987
3985,0.0031696121190937015
3986,0.003234622951380068
3987,0.0033000149002328548
3988,0.0033657588043800942
3989,0.0034318246651982762
3990,0.0034981816643596926
3991,0.0035647981828998971
3992,0.0036316418216988263
3993,0.0036986794233662985
3994,0.0037658770955198827
3995,0.0038332002354403809
3996,0.0039006135560873227
3997,0.00396808111345413
3998,0.0040355663352397769
3999,0.0041030320508110172
4000,0.0041704405224264381
4001,0.0042377534776908863
4002,0.0043049321432061041
4003,0.0043719372793806317
4004,0.0044387292163594987
4005,0.0045052678910315683
4006,0.0045715128850698419
4007,0.0046374234639575606
4008,0.0047029586169505784
4009,0.0047680770979239943
4010,0.0048327374670489543
4011,0.0048968981332431667
4012,0.0049605173973367766
4013,0.0050235534958931035
4014,0.0050859646456219163
4015,0.0051477090883212248
4016,0.0052087451362817713
4017,0.0052690312180869777
4018,0.0053285259247396223
4019,0.0053871880560453
