s_Q,prob_lead_lifetime
84,4.6718794776379319E-16
85,5.678393003394219E-15
86,3.8704270818399319E-14
87,1.9430760842677411E-13
88,7.9886127637691212E-13
89,2.8422088952579141E-12
90,9.04579012536867E-12
91,2.63218679347237E-11
92,7.1104353493767583E-11
93,1.8031877313357221E-10
94,4.3294754078938248E-10
95,9.9072713359058981E-10
96,2.1721633693674434E-09
97,4.5826661229769324E-09
98,9.3363187084216142E-09
99,1.8422971663921067E-08
100,3.5299527688961885E-08
101,6.58180810631118E-08
102,1.1964750724420193E-07
103,2.124003232200179E-07
104,3.6874360772496286E-07
105,6.2685080351708993E-07
106,1.0446380277267379E-06
107,1.7083196827773889E-06
108,2.7439067091252243E-06
109,4.3323468637003178E-06
110,6.7290570277407512E-06
111,1.0288606994718845E-05
112,1.5495264483784096E-05
113,2.2999983145190443E-05
114,3.3664190415176643E-05
115,4.861039415623346E-05
116,6.9279165099949756E-05
117,9.7491463081405652E-05
118,0.00013551456645818355
119,0.00018612905661502771
120,0.00025269343867595755
121,0.00033920209678737134
122,0.00045033145396994025
123,0.000591468511689424
124,0.00076871547071298118
125,0.00098886397292717349
126,0.0012593327391929459
127,0.0015880630831123373
128,0.0019833680042733925
129,0.0024537323252082585
130,0.0030075636131145105
131,0.0036528963553472816
132,0.0043970549254821641
133,0.0052462841284651989
134,0.006205359354433039
135,0.0072771913781857671
136,0.0084624433776746329
137,0.0097591795757215622
138,0.011162565821890636
139,0.012664642254586075
140,0.014254186804831098
141,0.0159166856845146
142,0.017634423188871325
143,0.01938669826918879
144,0.021150169615787133
145,0.022899324726674841
146,0.024607061975538521
147,0.026245368421118066
148,0.027786070414904659
149,0.029201629342406554
150,0.030465951404241094
151,0.031555178463128733
152,0.03244842681375161
153,0.033128442328893094
154,0.033582143738063334
155,0.033801030633589288
156,0.03378143890346421
157,0.0335246333081559
158,0.033036734441206236
159,0.032328484903682488
160,0.0314148667452866
161,0.030314588676758951
162,0.029049466893915937
163,0.027643727307773827
164,0.026123259377053433
165,0.024514852520611117
166,0.0228454452819454
167,0.021141415154675838
168,0.0194279334666643
169,0.017728405233516157
170,0.016064008742308233
171,0.014453344143522168
172,0.01291219483777978
173,0.011453400242457404
174,0.010086833866830812
175,0.0088194767126070547
176,0.00765557298582601
177,0.0065968530267681352
178,0.0056428072439253588
179,0.0047909946265775353
180,0.0040373700110379156
181,0.003376615555561277
182,0.0028024636827807003
183,0.0023080009107616325
184,0.0018859443503851429
185,0.0015288850455702997
186,0.0012294946412149824
187,0.0009806939741413593
188,0.00077578401526757048
189,0.00060854109582625978
190,0.00047327950308965279
191,0.00036488533234629595
192,0.00027882595250241441
193,0.00021113961865218558
194,0.00015840969260017562
195,0.00011772766349350342
196,8.6648748565575629E-05
197,6.3143349350198335E-05
198,4.5547087427568057E-05
199,3.2511584789917175E-05
200,2.2957618373528544E-05
201,1.6031789161724232E-05
202,1.1067418674479171E-05
203,7.5500277527832764E-06
204,5.0874665081404855E-06
205,3.38454763013912E-06
206,2.2218819937882184E-06
207,1.4385175300700265E-06
208,9.1793031160079611E-07
209,5.7690118364338557E-07
210,3.5682287141504633E-07
211,2.170130369638127E-07
212,1.2965114097178881E-07
213,7.6005395673293309E-08
214,4.3666102478218922E-08
215,2.4550008295827677E-08
216,1.3484826576597528E-08
217,7.2224917318348206E-09
218,3.7634974738228679E-09
219,1.9027826842523853E-09
220,9.304069523636214E-10
221,4.3825501113312954E-10
222,1.9788953941045863E-10
223,8.5127443482361054E-11
224,3.460862027420949E-11
225,1.3156217450405674E-11
226,4.608074207539978E-12
227,1.4559080348905843E-12
228,4.0165015842491905E-13
229,9.1622383612710536E-14
230,1.55541920139056E-14
231,1.4972775698027276E-15
